Date,Account,Category,Subcategory,Note,Income/Expense,Amount,Currency,Account
1/26/22 16:52,CUB - online payment,Food,,Paani poori,Expense,25,INR,25
1/25/22 13:35,CUB - online payment,Food,,Kfc date with myself,Expense,259,INR,259
1/25/22 10:23,CUB - online payment,Food,,Lemon tea,Expense,18,INR,18
1/25/22 9:20,CUB - online payment,Transportation,,Train to vnr,Expense,325,INR,325
1/24/22 20:17,CUB - online payment,Food,,Snack,Expense,40,INR,40
1/24/22 14:08,CUB - online payment,Food,,Lunch with company,Expense,133,INR,133
1/23/22 21:45,CUB - online payment,Food,,Pepsi,Expense,40,INR,40
1/23/22 21:41,CUB - online payment,Food,,Dinner,Expense,465,INR,465
1/23/22 21:29,CUB - online payment,Food,,Sent to vicky,Expense,300,INR,300
1/23/22 21:29,CUB - online payment,Food,,Lunch,Expense,302,INR,302
1/23/22 21:29,CUB - online payment,Other,,From vicky,Income,310,INR,310
1/23/22 21:27,CUB - online payment,Food,,Snacks with preethi and azar,Expense,176,INR,176
1/23/22 21:27,CUB - online payment,Social Life,,Badminton,Expense,200,INR,200
1/23/22 21:27,CUB - online payment,Other,,From dad,Income,2000,INR,2000
1/21/22 14:22,CUB - online payment,Food,,Lunch with company,Expense,188,INR,188
1/21/22 11:47,CUB - online payment,Food,,Snacks,Expense,37,INR,37
1/21/22 11:47,CUB - online payment,Other,,From vicky,Income,200,INR,200
1/19/22 14:27,CUB - online payment,Food,,Lunch + chocolate for preethi,Expense,171,INR,171
1/18/22 20:54,CUB - online payment,Food,,Dinner,Expense,301.15,INR,301.15
1/18/22 17:10,CUB - online payment,Food,,Snack with preethi,Expense,59,INR,59
1/18/22 13:51,CUB - online payment,Food,,Lunch with company,Expense,148,INR,148
1/18/22 12:59,CUB - online payment,Other,,To kumara,Expense,200,INR,200
1/18/22 12:59,CUB - online payment,Other,,From dad,Income,1000,INR,1000
1/17/22 18:31,CUB - online payment,Food,,Eve snack,Expense,100,INR,100
1/15/22 21:17,CUB - online payment,Transportation,,Bus to Bangalore,Expense,1365,INR,1365
1/15/22 21:16,CUB - online payment,Other,,From dad,Income,1500,INR,1500
